#DETEKTREF,INT_BEGIN,Q_KFZ,V_KFZ,Q_PKW,V_PKW,Q_LKW,V_LKW
1000008320,12:40:00,432,58,396,59,36,24
1000008320,12:50:00,384,61,366,61,18,17
1000008320,13:00:00,426,56,378,57,48,27
1000008320,13:10:00,522,56,474,56,48,26
1000008320,13:20:00,522,54,450,54,72,35
1000008320,13:30:00,546,57,498,59,48,31
1000008320,13:40:00,510,57,450,58,60,42
1000008320,13:50:00,462,57,390,57,72,48
1000008320,14:00:00,474,56,420,57,54,24
1000008320,14:10:00,474,55,420,55,54,36
1000008320,14:20:00,432,52,384,53,48,22
1000008320,14:30:00,498,53,444,53,54,19
1000008320,14:40:00,558,59,498,59,60,35
1000008320,14:50:00,450,58,408,57,42,25
1000008320,15:00:00,450,64,426,64,24,12
1000008320,15:10:00,498,57,450,58,48,18
1000008320,15:20:00,492,58,450,58,42,37
1000008320,15:30:00,594,60,546,59,48,33
1000008320,15:40:00,504,54,450,53,54,42
1000008320,15:50:00,492,56,456,57,36,20
1000008320,16:00:00,504,54,450,54,54,34
1000008320,16:10:00,534,56,468,55,66,37
1000008320,16:20:00,576,56,558,56,18,10
1000008320,16:30:00,570,57,546,57,24,21
1000008320,16:40:00,618,58,600,59,18,8
1000008320,16:50:00,600,59,594,59,6,4
1000008320,17:00:00,636,56,594,56,42,26
1000008320,17:10:00,618,56,588,56,30,26
1000008320,17:20:00,630,59,600,58,30,30
1000008320,17:30:00,588,56,582,56,6,5
1000008320,17:40:00,672,61,642,61,30,15
1000008320,17:50:00,564,58,552,58,12,9
1000008320,18:00:00,570,56,552,56,18,12
1000008320,18:10:00,636,62,588,62,48,41
1000008320,18:20:00,492,59,462,59,30,28
1000008320,18:30:00,534,55,504,55,30,22
1000008320,18:40:00,528,59,510,59,18,17
1000008320,18:50:00,576,64,570,64,6,9
1000008320,19:00:00,528,65,522,65,6,6
1000008320,19:10:00,384,57,366,56,18,18
1000008320,19:20:00,414,59,402,60,12,8
1000008320,19:30:00,426,58,408,58,18,15
1000008320,19:40:00,414,61,408,61,6,10
1000008320,19:50:00,360,62,360,62,0,0
1000008320,20:00:00,396,63,348,65,48,35
1000008320,20:10:00,360,68,336,69,24,22
1000008320,20:20:00,312,60,300,61,12,10
1000008320,20:30:00,402,59,384,59,18,20
1000008320,20:40:00,276,62,264,63,12,9
1000008320,20:50:00,282,63,264,62,18,20
1000008320,21:00:00,366,66,360,67,6,2
1000008320,21:10:00,372,60,354,59,18,19
1000008320,21:20:00,324,59,306,59,18,19
1000008320,21:30:00,270,58,258,59,12,8
1000008320,21:40:00,300,66,294,67,6,7
1000008320,21:50:00,300,65,264,67,36,30
1000008320,22:00:00,252,63,246,63,6,6
1000008320,22:10:00,360,63,348,63,12,14
1000008320,22:20:00,270,69,270,69,0,0
1000008320,22:30:00,258,63,246,63,12,13
1000008320,22:40:00,246,68,240,69,6,4
1000008320,22:50:00,240,63,234,63,6,7
1000008320,23:00:00,132,57,126,57,6,6
1000008320,23:10:00,144,69,132,67,12,14
1000008320,23:20:00,180,64,168,64,12,17
1000008320,23:30:00,144,63,132,63,12,14
1000008320,23:40:00,96,66,96,66,0,0
1000008320,23:50:00,96,52,96,52,0,0
1000008322,00:00:00,42,29,42,29,0,0
1000008322,00:10:00,18,21,18,21,0,0
1000008322,00:20:00,48,44,48,44,0,0
1000008322,00:30:00,12,17,12,17,0,0
1000008322,00:40:00,18,19,18,19,0,0
1000008322,00:50:00,18,13,18,13,0,0
1000008322,01:00:00,18,20,18,20,0,0
1000008322,01:10:00,0,0,0,0,0,0
1000008322,01:20:00,36,27,36,27,0,0
1000008322,01:30:00,12,7,12,7,0,0
1000008322,01:40:00,18,24,18,24,0,0
1000008322,01:50:00,24,19,18,11,6,8
1000008322,02:00:00,18,28,18,28,0,0
1000008322,02:10:00,18,31,18,31,0,0
1000008322,02:20:00,6,8,6,8,0,0
1000008322,02:30:00,24,31,24,31,0,0
1000008322,02:40:00,6,8,6,8,0,0
1000008322,02:50:00,0,0,0,0,0,0
1000008322,03:00:00,6,7,6,7,0,0
